StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_6_TEXT,Q4_First Click,Q4_Last Click,Q4_Page Submit,Q4_Click Count,Q53_First Click,Q53_Last Click,Q53_Page Submit,Q53_Click Count,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Q6_1,Q51_1,Q80_First Click,Q80_Last Click,Q80_Page Submit,Q80_Click Count,Q72,Q81_First Click,Q81_Last Click,Q81_Page Submit,Q81_Click Count,Q75_1,Q76_1,Q77_1,Q78_1,Q79_1,Q74_1,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q77_First Click,Q77_Last Click,Q77_Page Submit,Q77_Click Count,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,Q79_First Click,Q79_Last Click,Q79_Page Submit,Q79_Click Count,Q81,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,Q60,Q85_First Click,Q85_Last Click,Q85_Page Submit,Q85_Click Count,Q88,Q87,Q86_First Click,Q86_Last Click,Q86_Page Submit,Q86_Click Count,FL_4_DO,FL_27_DO
2021-03-23 18:24:44,2021-03-23 18:31:08,IP Address,71.202.31.135,100,383,True,2021-03-23 18:31:08,R_1H1YYhHqn0OuRfE,,,,,37.5625,-122.000396728515625,anonymous,EN,1st Year,Cis Woman,,,,,,,,,,,,,,,,,,50,40,5.811,22.447,23.732,3,,,,,,95,50,50,80,80,90,20.866,78.693,79.877,8,0,0,57.113,0,0,0,44.191,0,0,0,33.412,0,0,0,30.615,0,"bear,treatment,wellness,clouds",3.866,10.941,15.033,4,How accurately UC Berkeley's social media presence represents the undergrad community,4.877,40.564,53.85,4,No,,5.918,13.099,14.081,2,,FL_32
2021-03-23 18:28:44,2021-03-23 18:33:42,IP Address,98.242.15.71,100,297,True,2021-03-23 18:33:42,R_YRka0dvQrXi97S9,,,,,38.56390380859375,-121.441802978515625,anonymous,EN,1st Year,Trans Man,,,,,,,,,,,,,,,,,,77,40,12.23,20.558,21.544,3,,,,,,50,35,50,45,35,60,17.121,50.996,51.699,7,0,0,14.601,0,0,0,18.788,0,0,0,18.383,0,0,0,102.059,0,"bear,treatment,wellness,clouds",3.184,9.004,10.414,4,Social media impacts on social norms.,4.236,4.236,23.872,1,No,"Raise awareness about student mental health needs,Raise awareness about sexual violence and sexual harassment,Raise awareness about healthy eating habits and resources,Raise awareness about safe partying practices,Raise awareness about environmental sustainability on campus",5.852,12.13,13.474,6,,FL_32
2021-03-23 18:32:29,2021-03-23 18:36:05,IP Address,136.25.17.237,100,216,True,2021-03-23 18:36:06,R_3UGiroVaNmvmstX,,,,,37.782501220703125,-122.43499755859375,anonymous,EN,1st Year,Cis Man,,3.108,40.518,42.909,20,1.169,10.94,11.916,12,1.072,9.497,10.642,6,1.035,11.709,13.546,8,76,32,5.398,17.616,18.326,3,"bear,control,wellness,clouds",7.592,14.201,14.976,11,85,40,50,60,85,80,5.901,55.729,56.22,16,,,,,,,,,,,,,,,,,,,,,,No goddamn clue,3.375,3.375,8.202,1,No,,4.289,7.926,8.382,4,FL_16,
2021-03-23 18:32:02,2021-03-23 18:36:41,IP Address,172.58.94.220,100,278,True,2021-03-23 18:36:41,R_DvO0rvfZ3XMe6Vr,,,,,37.777099609375,-122.40599822998046875,anonymous,EN,1st Year,Cis Woman,,1.93,15.528,17.344,13,1.618,10.191,11.254,6,2.531,11.217,13.275,6,1.217,10.222,11.679,4,60,40,9.474,18.082,18.761,4,"control,wellness,clouds",3.548,10.865,12.314,11,66,21,50,41,73,50,1.572,37.56,38.997,16,,,,,,,,,,,,,,,,,,,,,,"Social media and it’s impact on Berkeley students and decisions that they make in their lives ",5.139,24.509,30.76,3,Yes,,4.66,7.48,8.602,5,,FL_28
2021-03-23 19:04:24,2021-03-23 19:08:50,IP Address,172.115.170.93,100,266,True,2021-03-23 19:08:51,R_3lzE66YgY8EbrO7,,,,,33.92999267578125,-117.94770050048828125,anonymous,EN,1st Year,Cis Woman,,1.505,24.834,26.929,12,2.672,14.87,17.254,9,1.227,11.938,15.049,3,0.289,13.26,14.641,6,50,50,9.93,25.547,26.263,4,"control,wellness,clouds",3.822,13.656,18.179,9,50,50,50,90,85,90,5.601,60.515,61.259,17,,,,,,,,,,,,,,,,,,,,,,"Understanding people ",2.335,20.883,23.446,3,No,,3.346,11.269,11.832,6,,FL_28
2021-03-23 19:10:43,2021-03-23 19:13:49,IP Address,72.132.103.118,100,186,True,2021-03-23 19:13:50,R_2D08ab2Mbl9X5Bv,,,,,33.7631988525390625,-116.4228973388671875,anonymous,EN,1st Year,Cis Woman,,,,,,,,,,,,,,,,,,61,72,3.972,12.13,13.034,3,,,,,,51,23,50,82,20,87,3.193,30.461,31.526,9,0,0,11.284,0,11.666,11.666,13.174,1,0,0,11.143,0,0,0,11.289,0,"bear,treatment,wellness,clouds",3.332,7.078,8.078,4,The perception of the student body through social media,4.09,4.09,49.072,1,No,"Raise awareness about student mental health needs,Raise awareness about sexual violence and sexual harassment,Raise awareness about healthy eating habits and resources,Raise awareness about safe partying practices,Raise awareness about environmental sustainability on campus",1.856,14.456,17.288,7,,FL_32
2021-03-23 19:19:02,2021-03-23 19:22:51,IP Address,47.197.0.71,100,229,True,2021-03-23 19:22:52,R_pnKlD73qGKz2cKZ,,,,,28.2364959716796875,-82.3289031982421875,anonymous,EN,1st Year,Cis Man,,,,,,,,,,,,,,,,,,31,50,9.187,37.738,38.932,5,,,,,,95,50,50,80,85,91,2.224,66.501,67.773,17,1.452,19.876,22.623,5,0.473,11.287,13.468,3,0.778,11.186,11.907,5,0.162,8.458,11.076,2,"bear,wellness",2.51,9.293,11.72,5,,4.337,12.443,12.459,3,No,,4.054,10.621,11.8,5,FL_17,
2021-03-23 19:10:48,2021-03-23 19:23:28,IP Address,184.191.16.206,100,759,True,2021-03-23 19:23:28,R_8wtM7hJzIjIw2Y1,,,,,36.0113067626953125,-115.20379638671875,anonymous,EN,1st Year,Non-binary,,,,,,,,,,,,,,,,,,11,12,10.15,14.862,15.956,4,,,,,,75,50,50,60,75,70,18.21,62.553,63.681,8,0,0,35.792,0,0,0,20.242,0,0,0,36.039,0,0,0,22.459,0,"bear,treatment,wellness,clouds",4.405,11.329,12.638,4,relationship between social media and how we perceive the uc berkeley undergrad community???,18.952,45.856,46.693,11,No,"Raise awareness about student mental health needs,Raise awareness about sexual violence and sexual harassment,Raise awareness about healthy eating habits and resources,Raise awareness about safe partying practices,Raise awareness about environmental sustainability on campus",0.946,26.209,27.019,10,,FL_32
2021-03-23 18:37:03,2021-03-23 18:37:14,IP Address,73.170.130.45,1,11,False,2021-03-23 19:37:15,R_3DnKX6IbA60lcjM,,,,,,,anonymous,EN,1st Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23 19:58:49,2021-03-23 20:04:31,IP Address,104.55.182.54,100,341,True,2021-03-23 20:04:31,R_ZrUx4pUXqkEPiMx,,,,,28.7593994140625,-81.3511962890625,anonymous,EN,1st Year,Cis Man,,0,0,59.023,0,0,0,22.789,0,0,0,25.812,0,0,0,24.365,0,60,30,8.997,17.289,19.252,3,"bear,control,wellness,clouds",5.095,11.5,17.754,4,70,15,50,30,20,90,11.503,53.239,54.953,6,,,,,,,,,,,,,,,,,,,,,,Social media perception??!!??,3.009,3.009,24.899,1,Yes,,4.257,11.503,12.556,2,FL_16,
2021-03-23 19:25:07,2021-03-23 19:25:13,IP Address,67.161.48.238,1,6,False,2021-03-23 20:25:15,R_6YxJNKgMMqamA4V,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23 20:36:55,2021-03-23 20:53:51,IP Address,172.115.58.113,100,1016,True,2021-03-23 20:53:52,R_1dFWVHwceyRMe2Z,,,,,33.97760009765625,-117.7375030517578125,anonymous,EN,1st Year,Cis Woman,,0,0,25.48,0,0,0,23.118,0,2.253,2.253,11.546,1,1.591,11.559,13.764,2,100,100,5.869,8.326,11.214,2,"control,wellness,clouds",7.132,11.215,18.869,3,9,50,50,70,60,80,5.134,27.484,28.275,6,,,,,,,,,,,,,,,,,,,,,,how our selective perception and interpretation of social media affects our perception of reality,3.435,27.912,30.473,2,No,,2.62,7.212,8.367,2,,FL_28
2021-03-23 21:06:46,2021-03-23 21:10:40,IP Address,162.193.86.208,100,234,True,2021-03-23 21:10:40,R_PziUPikJmqaoO8p,,,,,32.9510955810546875,-117.22409820556640625,anonymous,EN,1st Year,Cis Woman,,2.657,13.579,22.131,3,1.659,15.21,15.244,4,0.861,4.809,11.009,2,0.801,8.001,12.012,4,40,40,19.611,34.291,35.107,4,"bear,control,wellness,clouds",2.836,10.762,12.102,9,80,20,50,50,80,80,10.445,60.529,61.522,14,,,,,,,,,,,,,,,,,,,,,,"Social media and perception ",15.661,24.483,34.381,3,No,,3.169,5.837,6.501,3,,FL_28
2021-03-23 21:14:24,2021-03-23 21:19:28,IP Address,73.170.130.45,100,303,True,2021-03-23 21:19:28,R_3EBbt2ziAKYvfUJ,,,,,37.50970458984375,-121.902099609375,anonymous,EN,1st Year,Cis Woman,,,,,,,,,,,,,,,,,,50,30,8.103,36.201,37.333,5,,,,,,86,50,50,30,30,80,7.147,45.647,46.587,8,0,0,40.193,0,6.231,10.298,25.087,2,3.033,5.814,16.822,3,0,0,13.657,0,"bear,treatment,wellness,clouds",6.501,14.679,16.22,6,the impact that social media can make in important matters /promoting certain behaviors,3.022,52.436,65.119,11,No,,4.763,8.081,8.991,2,,FL_32
2021-03-23 21:24:19,2021-03-23 21:34:17,IP Address,24.6.21.119,100,597,True,2021-03-23 21:34:17,R_10wnz9d0dgd1L3o,,,,,37.50970458984375,-121.902099609375,anonymous,EN,1st Year,Cis Woman,,5.941,42.958,47.833,10,1.118,44.792,46.966,9,3.023,20.739,30.531,6,1.253,24.581,25.94,7,80,80,14.775,25.48,26.066,2,"bear,control,wellness,clouds",1.188,16.048,17.895,18,80,20,50,30,90,90,14.641,75.254,75.54,17,,,,,,,,,,,,,,,,,,,,,,to test how much social media impacts our perception of the world/real-world scenarios,2.905,76.971,101.361,11,Yes,,8.03,28.822,29.452,6,,FL_28
2021-03-23 21:41:31,2021-03-23 21:41:39,IP Address,180.235.120.235,100,8,True,2021-03-23 21:41:39,R_12fOOEAZBwMloAs,,,,,12.5912933349609375,80.1514892578125,anonymous,EN,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23 21:41:54,2021-03-23 21:47:15,IP Address,180.235.120.235,100,320,True,2021-03-23 21:47:16,R_1dLVtwhLchzbkF7,,,,,12.5912933349609375,80.1514892578125,anonymous,EN,1st Year,Cis Man,,,,,,,,,,,,,,,,,,30,20,4.854,17.124,21.232,4,,,,,,80,50,50,90,90,67,12.445,62.035,62.928,14,0.394,39.826,43.541,21,2.226,31.916,32.789,18,1.019,21,22.743,21,1.003,6.512,11.226,8,"bear,treatment,wellness,clouds",3.274,10.913,12.166,9,how social media impacts our perceptions of social issues,2.551,13.048,66.72,7,No,,3.775,12.663,12.687,7,FL_17,
2021-03-23 23:34:44,2021-03-23 23:39:50,IP Address,24.6.219.100,100,305,True,2021-03-23 23:39:50,R_2tLo5Ysfc1MZ8FF,,,,,37.385894775390625,-122.08819580078125,anonymous,EN,1st Year,Cis Man,,1.485,22.027,22.035,10,0.931,13.482,16.052,11,0.897,65.044,65.847,7,2.293,9.327,10.824,6,60,70,7.496,17.59,19.97,4,"bear,control,wellness,clouds",2.631,8.87,9.755,9,80,80,50,70,60,80,6.301,96.737,97.36,17,,,,,,,,,,,,,,,,,,,,,,Perspectives made based on social media posts,4.861,8.673,27.802,2,No,,1.953,5.941,6.347,4,FL_16,
2021-03-23 23:34:41,2021-03-23 23:41:39,IP Address,110.224.48.46,100,417,True,2021-03-23 23:41:39,R_3En9fRTwxLSTgIX,,,,,19.074798583984375,72.8856048583984375,anonymous,EN,1st Year,Cis Man,,,,,,,,,,,,,,,,,,76,10,9.596,34.731,35.868,21,,,,,,65,15,50,65,22,44,5.756,64.228,65.721,24,1.108,44.002,45.077,20,2.635,60.642,61.919,16,1.009,22.645,23.601,12,0.9,16.919,18.195,9,"bear,treatment,wellness,clouds",2.338,14.2,15.084,12,Depression,3.58,3.58,57.886,1,Yes,,1.973,25.906,26.712,5,FL_17,
2021-03-24 00:05:13,2021-03-24 00:09:00,IP Address,107.216.242.31,100,226,True,2021-03-24 00:09:01,R_OfJDncgmdvKAdJT,,,,,37.5890045166015625,-122.0460968017578125,anonymous,EN,1st Year,Cis Woman,,,,,,,,,,,,,,,,,,65,17,5.7,9.274,10.745,3,,,,,,86,54,50,42,60,80,7.12,45.174,47.067,14,1.107,20.305,21.822,17,0.835,15.57,16.353,13,0.884,14.904,16.17,14,0.891,14.594,15.507,14,"bear,treatment,wellness,clouds",2.387,12.137,12.916,10,Preventing sexual assault/violence,2.096,7.111,18.362,4,Yes,"Raise awareness about student mental health needs,Raise awareness about sexual violence and sexual harassment,Raise awareness about healthy eating habits and resources,Raise awareness about environmental sustainability on campus",2.632,18.299,19.959,12,,FL_32
2021-03-24 00:39:20,2021-03-24 00:45:25,IP Address,76.167.172.161,100,365,True,2021-03-24 00:45:25,R_DC2XG4u8XlKY8BX,,,,,33.0287017822265625,-117.0845947265625,anonymous,EN,1st Year,Cis Woman,,0,0,17.618,0,8.917,8.917,11.837,1,4.58,15.343,17.378,7,0,0,100.098,0,10,40,5.41,8.761,9.743,2,"control,wellness,clouds",5.527,8.896,9.318,4,81,22,50,42,37,57,4.867,35.008,35.958,11,,,,,,,,,,,,,,,,,,,,,,I believe this study was about how observant we are about what is happening around us - either in terms of friends or social media.,2.744,2.744,49.729,1,Yes,,3.11,6.708,7.438,2,,FL_28
2021-03-24 05:24:18,2021-03-24 05:24:35,IP Address,47.200.26.228,25,16,False,2021-03-24 06:24:37,R_31XJHEC4bHx1R33,,,,,,,anonymous,EN,1st Year,Cis Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_16,
2021-03-24 10:16:47,2021-03-24 10:20:42,IP Address,128.12.122.7,100,234,True,2021-03-24 10:20:43,R_PAIhEXh1Ir1JpSN,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1st Year,Non-binary,,,,,,,,,,,,,,,,,,50,41,5.373,10.137,10.715,2,,,,,,80,40,50,80,80,80,4.588,41.821,42.596,8,18.848,20.06,22.358,4,6.775,11.683,12.43,10,0.265,12.38,15.424,9,4.433,9.904,11.975,3,"bear,wellness",5.197,9.002,10.703,2,Perceptions of Cal.,1.778,1.778,12.273,1,No,,3.206,7.986,9.449,2,,FL_32
